Jurisdiction,Publication Date,Publication Year,Application Number,Title,Abstract,Applicants,Inventors,Owners,Document_type,CPC_classification,IPCR Classifications,legal_status
US,6/2/2022,2022,US 202217676127 A,MINI DRONE AND AGBOT BASED DISTRIBUTED SYSTEM AND METHOD OF OFFERING AGRONOMICS SERVICES TO FARMERS,"In this invention a Web Server based distributed cellular system to provide 21st century total digital precision agriculture to small and uneducated poor farmers is proposed. A service model is used to avoid farmers owning any equipment and a system's provided service agent becomes on ground mentor of the farmer. The invention uses plurality of low cost mini Dynamic Remotely Operated Navigation Equipment (DRONEs), automated mini robots-size of a shoe box mini AGBOTs wirelessly connected to a remote central Web Server. The central web server system uses agricultural specialists to provide farmers 21st century technology to manage their farms and increase crop yields, save amount of fertilizers used and irrigation needed without owning any equipment. Photogrammetry and radio metric images obtained from multi spectral camera mounted on these mini DRONEs allows agronomists, and other specialists at the central server site to offer all crop management functions. Data analytics, Artificial Intelligence, AI, tools used at the remote server will provide forecast on expected yield of various crops to plan for buffer stocks, and also information to insurance companies on crops affected in case of natural disasters like hail storms, floods and droughts. And thus providing quick and timely relief to affected farmers and produce growers. The system uses Autonomous mini AGBOT DRONE with its built in AI tools to weed the farms and thus avoiding use of herbicides, costly and harmful to farmers as well our environment. The mini AGBOTs can be used with the canopy of crop plants and can analyze soil samples in the field. DRONEs provide selected spraying of fertilizer and fungicide to the crop.",VERMA SHIV;;VERMA SHAILEN,VERMA SHIV;;VERMA SHAILEN,,Patent Application,G06V20/17;;G06V20/194;;G06V20/188;;G06V10/82;;Y02A40/10;;B64D1/18;;A01B69/008;;A01B39/18;;B64U2101/00;;B64U2101/30;;G06V20/188;;B64C39/024;;A01B79/005;;B64U2101/20;;B64U2101/30,G06V20/10;;A01B79/00;;B64C39/02,PENDING,,,,
EP,4/6/2022,2022,EP 20199939 A,SYSTEM FOR EVALUATING AND MONITORING PLANTS,"A system for evaluating and monitoring plants, comprising means for detecting spectral information of plants (10),means (5) for detecting meteorology information,means (4) for detecting soil information,the system further comprising a processing unit (21) communicating with said means and arranged for processing the detected information and the system comprising storing unit (22) arranged for storing the detected information.",SENSILIZE LTD,GILMAN PAVEL;;PASHA YURII,,Patent Application,G06T7/0004;;G06T7/90;;G06T2207/10036;;G06T2207/20084;;G06T2207/30128;;G06T2207/30188;;G06V20/194;;G06V20/188;;G06V10/764,G06T7/00;;G06K9/00;;G06T7/90,PENDING,,,,
WO,10/7/2021,2021,IB 2020053083 W,AN ARTIFICIAL-INTELLIGENCE-BASED METHOD OF AGRICULTURAL AND HORTICULTURAL PLANTS' PHYSICAL CHARACTERISTICS AND HEALTH DIAGNOSING AND DEVELOPMENT ASSESSMENT.,"a method of developing plant's physical characteristics data collecting by imaging methods for specific agricultural and horticultural products to be utilized in conjunction with any using machine learning, machine vision, and deep learning methods (all of the deep learning algorithms) to diagnose plants physical characteristics status.wherein the pixel matrix in the image is defined by deep learning techniques to pre-learned models of pixel values and the image library comprises images of agricultural and horticultural product's physical characteristics. wherein the problems are any physical plant problem (the diseases include any disease identifiable by visual inspection of plant leaves, stems, and entire plant or any physical changes). wherein extracting relevant images is performed by deep learning and machine vision methods and the pixel model results from multi images from a plurality of cameras received from an image capture device within the agricultural and horticultural products.",SARABI SOROUSH;;MOHAMMADI MOHAMMADREZA;;SARABI ALI;;RAZPOUSH NAZARI MEHDI,SARABI SOROUSH;;MOHAMMADI MOHAMMADREZA;;SARABI ALI;;RAZPOUSH NAZARI MEHDI;;SHADLO AMENEH;;SOLTANMORADI ALI;;TAVASOLI HANIEH,,Patent Application,G06T7/0012;;G06V20/188;;G06V20/17;;G06N3/08;;A01C21/007;;A01B79/005;;A01G7/00;;G06F18/24;;G06T7/0012;;G06V20/17;;G06V20/188,G06T1/00;;G06N3/02;;G06T7/00,PENDING,,,,
US,12/13/2022,2022,US 201916724263 A,Targeting agricultural objects to apply units of treatment autonomously,"Various embodiments relate generally to computer vision and automation to autonomously identify and deliver for application a treatment to an object among other objects, data science and data analysis, including machine learning, deep learning, and other disciplines of computer-based artificial intelligence to facilitate identification and treatment of objects, and robotics and mobility technologies to navigate a delivery system, more specifically, to an agricultural delivery system configured to identify and apply, for example, an agricultural treatment to an identified agricultural object. In some examples, a method may include, at least, detecting an optical sight to align with an associated agricultural object, tracking the agricultural objects relative to the optical sight, predicting a parameter to track in association with agricultural object, and activating an emitter to apply an action based on the parameter.",VERDANT ROBOTICS INC,SIBLEY GABRIEL THURSTON;;GARNER CURTIS DALE;;MICHELIN ANDRE ROBERT DANIEL;;IBARRIA LORENZO;;LEGER PATRICK CHRISTOPHER;;REWIS BENJAMIN;;YAN SHI,VERDANT ROBOTICS INC (2020-04-21),Granted Patent,G06Q50/02;;A01M1/20;;A01B79/005;;A01G7/06;;G06T7/246;;G06T7/73;;G06T2207/30188;;G06N20/00;;G06V20/188;;G06V20/10;;G06T7/246;;G06N20/00;;G06T2207/30188;;A01C15/00;;A01M1/20;;G06Q50/02;;A01G7/06;;G06V20/188,G06T7/246;;A01C15/00;;A01G7/06;;A01M1/20;;G06N20/00;;G06Q50/02;;G06V20/10,ACTIVE,,,,
US,4/19/2022,2022,US 201916724266 A,Micro-precision application of multiple treatments to agricultural objects,"Various embodiments relate generally to computer vision and automation to autonomously identify and deliver for application a treatment to an object among other objects, data science and data analysis, including machine learning, deep learning, and other disciplines of computer-based artificial intelligence to facilitate identification and treatment of objects, and robotics and mobility technologies to navigate a delivery system, more specifically, to an agricultural delivery system configured to identify and apply, for example, an agricultural treatment to an identified agricultural object. In some examples, a method may include, receiving data representing a policy specifying a type of action for an agricultural object, selecting an emitter with which to perform a type of action for the agricultural object as one of one or more classified subsets, and configuring the agricultural projectile delivery system to activate an emitter to propel an agricultural projectile to intercept the agricultural object.",VERDANT ROBOTICS INC,SIBLEY GABRIEL THURSTON;;GARNER CURTIS DALE;;MICHELIN ANDRE ROBERT DANIEL;;IBARRIA LORENZO;;LEGER PATRICK CHRISTOPHER;;REWIS BENJAMIN;;YAN SHI,VERDANT ROBOTICS INC (2020-04-21),Granted Patent,A01B69/001;;A01B79/005;;A01C21/005;;A01M7/0089;;G05D1/0212;;G05D1/0246;;G05D2201/0201;;A01M21/043;;G06V20/38;;A01C21/007;;G05D2201/0201;;G05D1/0246;;G05D1/0212;;A01B69/004;;G06V20/188;;G06F18/243;;A01B69/001;;G06V20/38,G06K9/00;;A01B69/00;;A01C21/00;;G05D1/02;;G06K9/62,ACTIVE,,,,
US,8/9/2022,2022,US 201916724267 A,Cartridges to employ an agricultural payload via an agricultural treatment delivery system,"Systems and methods for computer vision and automation to autonomously identify and deliver for application a treatment to an object among other objects, data science and data analysis, including machine learning, deep learning, and other disciplines of computer-based artificial intelligence to facilitate identification and treatment of objects, and robotics and mobility technologies to navigate a delivery system, more specifically, to an agricultural delivery system configured to identify and apply, for example, an agricultural treatment to an identified agricultural object. In some examples, a method may include identifying a subset of payloads to provide one or more actions based on data representing a policy for one or more subsets of agricultural objects, causing one or more cartridges to be charged based on the subset of payloads, and, and implementing one or more cartridges at an agricultural projectile delivery system.",VERDANT ROBOTICS INC,SIBLEY GABRIEL THURSTON;;GARNER CURTIS DALE;;MICHELIN ANDRE ROBERT DANIEL;;IBARRIA LORENZO;;LEGER PATRICK CHRISTOPHER;;REWIS BENJAMIN;;YAN SHI,VERDANT ROBOTICS INC (2020-04-21),Granted Patent,A01C21/007;;A01B79/005;;A01C21/005;;A01B69/001;;A01B79/005;;A01B79/02;;A01B69/001;;A01C21/007;;A01C21/005;;G05D1/0274;;G05D2201/0201,A01B79/00;;A01B69/00;;A01B79/02;;A01C21/00,ACTIVE,,,,
US,4/11/2023,2023,US 202217707769 A,Micro-precision application of multiple treatments to agricultural objects,"Various embodiments relate generally to computer vision and automation to autonomously identify and deliver for application a treatment to an object among other objects, data science and data analysis, including machine learning, deep learning, and other disciplines of computer-based artificial intelligence to facilitate identification and treatment of objects, and robotics and mobility technologies to navigate a delivery system, more specifically, to an agricultural delivery system configured to identify and apply, for example, an agricultural treatment to an identified agricultural object. In some examples, a method may include, receiving data representing a policy specifying a type of action for an agricultural object, selecting an emitter with which to perform a type of action for the agricultural object as one of one or more classified subsets, and configuring the agricultural projectile delivery system to activate an emitter to propel an agricultural projectile to intercept the agricultural object.",VERDANT ROBOTICS INC,SIBLEY GABRIEL THURSTON;;GARNER CURTIS DALE;;MICHELIN ANDRE ROBERT DANIEL;;IBARRIA LORENZO;;LEGER PATRICK CHRISTOPHER;;REWIS BENJAMIN;;YAN SHI,VERDANT ROBOTICS INC (2020-04-21),Granted Patent,A01B69/001;;A01B79/005;;A01C21/005;;A01M7/0089;;G05D1/0212;;G05D1/0246;;G05D2201/0201;;A01M21/043;;G06V20/38;;A01C21/007;;G05D2201/0201;;G05D1/0246;;G05D1/0212;;A01B69/004;;G06V20/188;;G06F18/243;;A01B69/001;;G06V20/38,G06V20/00;;A01B69/00;;A01C21/00;;G05D1/02;;G06V20/10,ACTIVE,,,,
US,4/13/2023,2023,US 202218079784 A,TARGETING AGRICULTURAL OBJECTS VIA IMAGE PIXEL TRACKING,"Various embodiments relate generally to computer vision and automation to autonomously identify and deliver for application a treatment to an object among other objects, data science and data analysis, including machine learning, deep learning, and other disciplines of computer-based artificial intelligence to facilitate identification and treatment of objects, and robotics and mobility technologies to navigate a delivery system, more specifically, to an agricultural delivery system configured to identify and apply, for example, an agricultural treatment to an identified agricultural object. In some examples, a method may include, at least, detecting an optical sight to align with an associated agricultural object, tracking the agricultural objects relative to the optical sight, predicting a parameter to track in association with agricultural object, and activating an emitter to apply an action based on the parameter.",VERDANT ROBOTICS INC,SIBLEY GABRIEL THURSTON;;GARNER CURTIS DALE;;MICHELIN ANDRE ROBERT DANIEL;;IBARRIA LORENZO;;LEGER PATRICK CHRISTOPHER;;REWIS BENJAMIN;;YAN SHI,,Patent Application,G06Q50/02;;A01M1/20;;A01B79/005;;A01G7/06;;G06T7/246;;G06T7/73;;G06T2207/30188;;G06N20/00;;G06V20/188;;G06V20/10;;G06T7/246;;G06N20/00;;G06T2207/30188;;A01C15/00;;A01M1/20;;G06Q50/02;;A01G7/06;;G06V20/188,G06T7/246;;A01C15/00;;A01G7/06;;A01M1/20;;G06N20/00;;G06V20/10,PENDING,,,,
US,10/11/2022,2022,US 201916724269 A,Obscurant emission to assist image formation to automate agricultural management and treatment,"Various embodiments relate generally to computer vision and automation to autonomously identify and deliver for application a treatment to an object among other objects, data science and data analysis, including machine learning, deep learning, and other disciplines of computer-based artificial intelligence to facilitate identification and treatment of objects, and robotics and mobility technologies to navigate a delivery system, more specifically, to an agricultural delivery system configured to identify and apply, for example, an agricultural treatment to an identified agricultural object. In some examples, a method may include calculating an amount of light originating from a light source sensed at a location in which an agricultural object is interposed between the light source and an image capture device, causing emission of an obscurant, and directing the obscurant to a region interposed between the light source and the agricultural object.",VERDANT ROBOTICS INC,SIBLEY GABRIEL THURSTON;;GARNER CURTIS DALE;;MICHELIN ANDRE ROBERT DANIEL;;IBARRIA LORENZO;;LEGER PATRICK CHRISTOPHER;;REWIS BENJAMIN;;YAN SHI,VERDANT ROBOTICS INC (2020-04-21),Granted Patent,A01M7/0014;;A01B79/005;;A01C21/005;;A01B69/001;;B05B1/02;;B05B12/122;;B05B13/005;;H04N23/90;;B05B12/12;;G06T1/0014;;A01M7/0014;;B05B13/005;;A01C23/00;;B05B17/06;;H04N23/80,B05B12/12;;A01C23/00;;A01M7/00;;B05B13/00;;B05B17/06;;G06T1/00;;H04N5/232,ACTIVE,,,,
US,7/14/2022,2022,US 202117147048 A,PREDICTING SOIL ORGANIC CARBON CONTENT,"Implementations are described herein for predicting soil organic carbon (“SOC”) content for agricultural fields detected in digital imagery. In various implementations, one or more digital images depicting portion(s) of one or more agricultural fields may be processed. The one or more digital images may have been acquired by a vision sensor carried through the field(s) by a ground-based vehicle. Based on the processing, one or more agricultural inferences indicating agricultural practices or conditions predicted to affect SOC content may be determined. Based on the agricultural inferences, one or more predicted SOC measurements for the field(s) may be determined.",X DEV LLC,GUO CHENG-EN;;YANG JIE;;YUAN ZHIQIANG;;GRANT ELLIOTT,X DEVELOPMENT LLC (2021-01-12);;MINERAL EARTH SCIENCES LLC (2022-12-19),Patent Application,G06V10/62;;G06V10/82;;G06V20/56;;G06V20/68;;G06V20/188;;A01B79/005;;G01N33/24;;G06T7/0004;;G06T2207/30188,A01B79/00;;G01N33/24;;G06K9/00;;G06T7/00,ACTIVE,,,,
