"keyword","ngram","freq"
"unmanned aerial vehicle",3,461
"soil moisture content",3,213
"wireless sensor network",3,177
"IMAGE FORMING DEVICE",3,121
"irrigation control system",3,114
"Soil moisture content",3,103
"control method thereof",3,103
"soil moisture sensor",3,95
"AGRICULTURAL WORKING MACHINE",3,94
"soil pressure sensor",3,94
"IMAGE FORMING APPARATUS",3,89
"deep foundation pit",3,87
"source heat pump",3,84
"automatic control system",3,81
"drip irrigation system",3,81
"model test device",3,77
"agricultural Internet of Things",4,76
"convolutional neural network",3,71
"intelligent control system",3,70
"drip irrigation device",3,70
"data acquisition device",3,66
"protection unmanned aerial vehicle",4,65
"Automatic irrigation device",3,64
"data acquisition system",3,62
"Intelligent irrigation system",3,62
"Agricultural Internet of Things",4,58
"information acquisition device",3,57
"early warning device",3,57
"FARM WORKING MACHINE",3,56
"automatic irrigation system",3,55
"MOBILE AGRICULTURAL MACHINE",3,55
"humidity detection device",3,54
"Soil detection device",3,53
"early warning system",3,52
"Intelligent control system",3,52
"Soil moisture sensor",3,51
"soil detection device",3,50
"shield tunneling machine",3,50
"temperature control device",3,50
"automatic control device",3,49
"Automatic irrigation system",3,49
"Automatic control system",3,48
"Wireless sensor network",3,47
"intelligent irrigation system",3,47
"preparation method thereof",3,47
"AGRICULTURAL WORK VEHICLE",3,46
"Intelligent agricultural greenhouse",3,46
"Agricultural unmanned aerial vehicle",4,45
"soil heavy metal",3,44
"soil water content",3,42
"ENERGY HARVESTING SYSTEM",3,42
"time monitoring system",3,41
"environment detection device",3,41
"ground source heat",3,41
"temperature control system",3,39
"WORK SUPPORT SYSTEM",3,39
"remote control system",3,39
"construction method thereof",3,39
"Soil heavy metal",3,39
"ground source heat pump",4,39
"type soil moisture",3,38
"time monitoring device",3,38
"Intelligent monitoring system",3,38
"plant cultivation device",3,38
"agricultural unmanned aerial vehicle",4,38
"heavy metal pollution",3,37
"AGRICULTURAL WORK MACHINE",3,37
"greenhouse control system",3,37
"intelligence control system",3,37
"Soil layer thickness",3,37
"ENERGY HARVESTING DEVICE",3,36
"AGRICULTURAL WORKING VEHICLE",3,36
"simulation test device",3,36
"intelligent management system",3,36
"Agricultural product quality",3,36
"agricultural internet of things",4,35
"agricultural plant protection",3,35
"Agricultural environment information",3,34
"detection device Soil",3,34
"test method thereof",3,34
"edible mushroom cultivation",3,34
"irrigation control device",3,33
"content detection device",3,33
"early warning method",3,33
"soil sampling device",3,33
"environment control system",3,33
"Deep foundation pit",3,33
